50000,0.8018,0.9219
50000,0.8043,0.9207
50000,0.8021,0.9190
50000,0.8066,0.9227
50000,0.8103,0.9276
50000,0.8048,0.9177
50000,0.8113,0.9262
50000,0.8022,0.9146
50000,0.8073,0.9198
50000,0.8095,0.9239
50000,0.8127,0.9259
50000,0.8161,0.9298
50000,0.8170,0.9296
50000,0.8125,0.9253
50000,0.8118,0.9243
50000,0.8136,0.9265
50000,0.8158,0.9294
55000,0.8104,0.9224
60000,0.8142,0.9270
65000,0.8105,0.9226
70000,0.8142,0.9259
75000,0.8118,0.9246
80000,0.8148,0.9272
85000,0.8108,0.9232
90000,0.8151,0.9264
95000,0.8129,0.9248
100000,0.8170,0.9279
100000,0.8127,0.9259
105000,0.8161,0.9298
110000,0.8170,0.9296
115000,0.8125,0.9253
120000,0.8118,0.9243
125000,0.8136,0.9265
130000,0.8158,0.9294
135000,0.8104,0.9224
140000,0.8142,0.9270
145000,0.8105,0.9227
150000,0.8142,0.9259
155000,0.8118,0.9246
160000,0.8148,0.9272
165000,0.8108,0.9232
170000,0.8151,0.9264
175000,0.8129,0.9248
180000,0.8170,0.9279
185000,0.8176,0.9288
190000,0.8107,0.9228
195000,0.8164,0.9273
200000,0.8143,0.9257
205000,0.8179,0.9290
